Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,time_s,leader_id,gap_distance,leader_vel,rel_vel,time_headway_s,ttc_s,is_near_collision,is_sudden_braking,is_lane_change_point,is_car_following_candidate
1008,2423,617,1118847221200,25.72,49.638,6451140.286,1873328.173,21.5,8.5,3,48.35,0.0,3,,,,,,,989,0,190.74,3.95,us-101,1118847221.2,989.0,190.744,38.22,10.130000000000003,3.9450672182006206,18.829615004935828,False,False,False,False
1008,2424,617,1118847221300,25.694,54.637,6451143.646,1873324.471,21.5,8.5,3,48.35,0.0,3,,,,,,,989,0,189.63,3.92,us-101,1118847221.3,989.0,189.633,39.4,8.950000000000003,3.9220889348500516,21.188044692737424,False,False,False,False
1008,2425,617,1118847221400,25.669,59.637,6451147.007,1873320.769,21.5,8.5,3,48.35,0.0,3,,,,,,,989,0,188.68,3.9,us-101,1118847221.4,989.0,188.681,39.92,8.43,3.902399172699069,22.38208778173191,False,False,False,False
1008,2426,617,1118847221500,25.657,64.505,6451150.268,1873317.157,21.5,8.5,3,48.35,-8.7,3,,,,,,,989,0,187.81,3.88,us-101,1118847221.5,989.0,187.805,39.92,8.43,3.8842812823164428,22.27817319098458,False,True,False,False
1008,2427,617,1118847221600,25.634,69.287,6451153.494,1873313.601,21.5,8.5,3,47.58,-7.2,3,,,,,,,989,0,187.01,3.93,us-101,1118847221.6,989.0,187.01399999999998,39.92,7.659999999999997,3.9305170239596467,24.414360313315935,False,True,False,False
1008,2428,617,1118847221700,25.594,73.989,6451156.652,1873310.145,21.5,8.5,3,47.04,-3.92,3,,,,,,,989,0,186.3,3.96,us-101,1118847221.7,989.0,186.304,39.92,7.119999999999997,3.960544217687075,26.16629213483147,False,True,False,False
1008,2429,617,1118847221800,25.571,78.676,6451159.778,1873306.701,21.5,8.5,3,46.56,-4.48,3,,,,,,,989,0,185.61,3.99,us-101,1118847221.8,989.0,185.608,39.92,6.640000000000001,3.986426116838488,27.953012048192768,False,True,False,False
1008,2430,617,1118847221900,25.546,83.328,6451162.924,1873303.236,21.5,8.5,3,45.89,-8.04,3,,,,,,,989,0,184.95,4.03,us-101,1118847221.9,989.0,184.946,39.93,5.960000000000001,4.0302026585312705,31.03120805369127,False,True,False,False
1008,2431,617,1118847222000,25.522,87.872,6451166.062,1873299.779,21.5,8.5,3,45.26,-6.92,3,,,,,,,989,0,184.4,4.07,us-101,1118847222.0,989.0,184.397,39.95,5.309999999999995,4.07417145382236,34.72636534839928,False,True,False,False
1008,2432,617,1118847222100,25.501,92.32,6451169.169,1873296.356,21.5,8.5,3,45.02,0.73,3,,,,,,,989,"1,011",183.96,4.09,us-101,1118847222.1,989.0,183.95800000000003,39.83,5.190000000000005,4.086139493558419,35.444701348747564,False,False,False,False
